@relation shear_viscosity_predicted

@attribute Pressure numeric
@attribute Temperature numeric
@attribute X1 numeric
@attribute X2 numeric
@attribute X3 numeric
@attribute X4 numeric
@attribute X5 numeric
@attribute X6 numeric
@attribute X7 numeric
@attribute X8 numeric
@attribute X9 numeric
@attribute X10 numeric
@attribute X11 numeric
@attribute X12 numeric
@attribute X13 numeric
@attribute X14 numeric
@attribute X15 numeric
@attribute X16 numeric
@attribute X17 numeric
@attribute X18 numeric
@attribute X19 numeric
@attribute X20 numeric
@attribute X21 numeric
@attribute X22 numeric
@attribute X23 numeric
@attribute X24 numeric
@attribute X25 numeric
@attribute X26 numeric
@attribute X27 numeric
@attribute X28 numeric
@attribute X29 numeric
@attribute X30 numeric
@attribute X31 numeric
@attribute X32 numeric
@attribute X33 numeric
@attribute X34 numeric
@attribute X35 numeric
@attribute X36 numeric
@attribute X37 numeric
@attribute X38 numeric
@attribute X39 numeric
@attribute X40 numeric
@attribute X41 numeric
@attribute X42 numeric
@attribute X43 numeric
@attribute X44 numeric
@attribute X45 numeric
@attribute X46 numeric
@attribute X47 numeric
@attribute X48 numeric
@attribute X49 numeric
@attribute predictedViscosity numeric
@attribute Viscosity numeric

@data
100000,100,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.000011,0.000012
20000,7600,0.34984,0.225066,0.145582,0.094682,0.061914,0.040707,0.026911,0.017888,0.011955,0.008034,0.005429,0.003689,0.00252,0.001731,0.001196,0.000831,0.000581,0.000408,0.000288,0.000205,0.000146,0.000105,0.000076,0.000055,0.00004,0.00003,0.000022,0.000016,0.000012,0.000009,0.000007,0.000005,0.000004,0.000003,0.000002,0.000002,0.000001,0.000001,0.000001,0.000001,0.000001,0,0,0,0,0,0,0,0,0.000107,0.000106
70000,1100,0.095243,0.004522,0.000223,0.000011,0.000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.000032,0.000032
1000,8200,0.328344,0.218166,0.14569,0.097782,0.065959,0.044719,0.030471,0.020869,0.014365,0.009939,0.006911,0.004831,0.003394,0.002396,0.001701,0.001214,0.00087,0.000628,0.000455,0.000331,0.000243,0.000179,0.000132,0.000098,0.000074,0.000055,0.000042,0.000032,0.000024,0.000019,0.000014,0.000011,0.000009,0.000007,0.000005,0.000004,0.000003,0.000003,0.000002,0.000002,0.000002,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0,0,0.000111,0.00011
50000,1500,0.535576,0.057313,0.006304,0.000713,0.000083,0.00001,0.000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.000044,0.000043
50000,9700,0.255701,0.180986,0.128648,0.091836,0.065837,0.047401,0.034273,0.024887,0.01815,0.013293,0.009778,0.007224,0.00536,0.003994,0.002989,0.002247,0.001697,0.001287,0.00098,0.00075,0.000576,0.000445,0.000345,0.000269,0.00021,0.000165,0.00013,0.000104,0.000082,0.000066,0.000053,0.000043,0.000035,0.000028,0.000023,0.000019,0.000016,0.000013,0.000011,0.000009,0.000008,0.000007,0.000006,0.000005,0.000004,0.000004,0.000003,0.000003,0.1,0.000118,0.000118
40000,7800,0.239672,0.155944,0.102004,0.067076,0.044342,0.029469,0.019689,0.013225,0.008931,0.006063,0.004139,0.00284,0.001959,0.001359,0.000948,0.000665,0.000469,0.000332,0.000237,0.00017,0.000122,0.000089,0.000065,0.000047,0.000035,0.000026,0.000019,0.000014,0.000011,0.000008,0.000006,0.000005,0.000004,0.000003,0.000002,0.000002,0.000001,0.000001,0.000001,0.000001,0.000001,0,0,0,0,0,0,0,0.3,0.000101,0.000101
50000,8300,0.0325,0.021701,0.014563,0.009821,0.006656,0.004534,0.003104,0.002135,0.001477,0.001026,0.000717,0.000503,0.000355,0.000252,0.000179,0.000129,0.000093,0.000067,0.000049,0.000036,0.000026,0.000019,0.000014,0.000011,0.000008,0.000006,0.000005,0.000004,0.000003,0.000002,0.000002,0.000001,0.000001,0.000001,0.000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.000087,0.000087
40000,9200,0.238046,0.165354,0.115377,0.080867,0.056934,0.040265,0.028605,0.020414,0.014634,0.010538,0.007623,0.00554,0.004044,0.002966,0.002185,0.001617,0.001203,0.000898,0.000674,0.000508,0.000385,0.000293,0.000224,0.000172,0.000133,0.000103,0.00008,0.000063,0.00005,0.000039,0.000031,0.000025,0.00002,0.000016,0.000013,0.000011,0.000009,0.000007,0.000006,0.000005,0.000004,0.000003,0.000003,0.000003,0.000002,0.000002,0.000002,0.000001,0.2,0.000112,0.000112
20000,2300,0.076587,0.017831,0.004227,0.00102,0.000251,0.000063,0.000016,0.000004,0.000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.000046,0.000046
